"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.707783691970556,0.622873265253776,0.513772425087432,36,0,0,-0.161200441403271,-0.258893335585805,0,0.63696455542871,0,-0.230520512470466,0.860128727049135,0.142678736234002,0,0,0.0243037272495446,0.138475137871541,0.198574000742177,-0.280607206998309,-0.365544922101901,-0.116084330030368,0,-0.208561518496534,0,0.44860207143518,0.52333050838769,-0.980339168689924,0,0.0995390889832662,0.0610048671357533,0,0,0.493880443436492,0,-0.562939341168963,0,0,0.24916021078359,-0.606729360897536,0,0,0.129592966186323,0,0.345068243906593,0,0,0,0.196177517235088,0,0,0,0.152201952052244,0,0,0,0,-0.745352047790608,0.213316869263168,-0.353662668220749,0.359024965595372,-0.036482758351176,0.10065482395762,-0.00739093425210695,0.059463543545142,0.190145144564208,0,0.292020445414878
0.708105114954819,0.623128235713621,0.513539617333873,37,0,0,-0.161514625818741,-0.258870652580508,0,0.636632646486639,0,-0.230951586322024,0.860479949280984,0.142657473731188,0,0.000987056350941587,0.0243825919603707,0.138851662282678,0.198620956540445,-0.281018009216528,-0.367230560310846,-0.117325349775804,0,-0.208619248223437,0,0.449098369552967,0.524211041450941,-0.980403910634842,0,0.0995070631928182,0.0613624563787393,0,0,0.494551825619065,0,-0.564206064336781,0,0,0.249548958162861,-0.60714670471202,0,0,0.131408243829924,0,0.345590892395436,0,0,0,0.196409630621381,0,0,0,0.152617975474467,0,0,0,0,-0.746853011627234,0.213801761620719,-0.354057411370226,0.359472999538862,-0.0380817331667736,0.101224249176216,-0.00831271518863785,0.0596582053475233,0.190318204150998,0,0.293197370138239
0.718724197733553,0.627086350326143,0.507635664083353,38,0,0,-0.175088424041821,-0.256790122955644,0,0.63707085448745,0,-0.23856729293761,0.866153184781386,0.139069131573091,0,0.0258605929496307,0.025467419511463,0.147111379577582,0.20358305258845,-0.292190903497503,-0.415060739490459,-0.151700754748048,0,-0.20582759181609,0,0.470257855650583,0.546581214161743,-0.976816637378716,0,0.105729189666591,0.0774093215361819,0,0,0.522061173338534,0,-0.598083344243759,0,0,0.257601279445922,-0.620716635259195,0,0,0.197338155362636,0,0.367622901391524,0,-0.0833751749078773,0,0.203224530671308,0,0,0,0.166676209367,0,0,0,0,-0.782276339920934,0.227919685754817,-0.362986167924693,0.373879421618809,-0.0776873410826519,0.123165152547765,-0.0325736069656543,0.0652854837566848,0.197002910178853,0,0.323670977252654
0.720413128487255,0.627407965761603,0.506557684138798,39,0,0,-0.17761640862511,-0.256546738123886,0,0.637210824957,0,-0.239643057195704,0.866817986512397,0.138523246533744,0,0.0304121375305644,0.025774218400066,0.148544132001878,0.204433905877822,-0.294211849282591,-0.423047053768311,-0.157279610717963,0,-0.204959690151599,0,0.473424936235046,0.550167576424359,-0.97587686851902,0,0.106297441267752,0.0799607389338788,0,0,0.526294295079212,0,-0.603771437698638,0,0,0.258313691960489,-0.622945020129596,0,0,0.208604410608449,0,0.371052729188077,0,-0.0973339044960747,0,0.204385533431454,0,0,0,0.169111798651536,0,0.00299722027120532,0,0,-0.788936783654294,0.230028864014845,-0.36460773331357,0.376409326199963,-0.0839274218046654,0.126228251869851,-0.0364488787437806,0.0661185976601388,0.197569222691874,0,0.3284713699232
0.725722954688157,0.625903163892945,0.502686146133856,40,0,0,-0.184645809583184,-0.258451465449321,0,0.642154066458403,-0.0172145767863421,-0.245082222245917,0.873622529332749,0.137701942280102,0,0.0450051435360641,0.0289157750518357,0.153488474857667,0.208783592683983,-0.299149154048651,-0.446037432707009,-0.171653012033345,0,-0.199233711849112,0,0.482798281946349,0.565408995918492,-0.977095991705065,0,0.10443448334069,0.0893293869083385,0,0,0.541863482449789,0,-0.621762002718511,0,0,0.259759599383135,-0.631434978581549,0,0,0.241038021368409,0,0.382588571205851,0,-0.139038385601904,0,0.209658390673312,0,0,0,0.176700367379495,0,0.0117782984962285,0,0,-0.812113773492282,0.239314380881752,-0.37087683085229,0.385639468212205,-0.104280346341204,0.134065929806127,-0.0460225151087666,0.0674487032014637,0.198579697733403,0,0.344014625998609
0.732313416089155,0.621973535734219,0.498514586328024,41,0,0,-0.193080736111511,-0.264438812428352,0,0.650949423888108,-0.037882236134481,-0.25162644435257,0.884688674560245,0.13549042204327,0,0.062092558833618,0.0332998421908049,0.15924490349926,0.213360095380943,-0.305031897287321,-0.470996056256102,-0.185688654214104,0,-0.192117884985955,0,0.495278673313822,0.582412598843692,-0.978895889626882,0,0.107944643857609,0.100486215817717,0,0,0.563543632035501,0,-0.643233845826182,0,0,0.260163796342068,-0.644448616566429,0,0,0.277554164922553,0,0.4005951180967,-0.0373541596380442,-0.178255417632721,0,0.218789984645248,0,0,0,0.187404132149884,0,0.0255144700763696,0,0,-0.841618713033885,0.250589502726035,-0.379517309029725,0.398809066290237,-0.124212012948287,0.146735069249778,-0.0590078646017579,0.0706743042567346,0.200973733440995,0,0.360811524213117
0.758534871340754,0.598530687282472,0.474804143691487,42,-0.056844626449693,0,-0.224692992701753,-0.285789411720685,0,0.700641409405487,-0.137809518672914,-0.277942803867992,0.941948649032607,0.124332211398509,0,0.144123780191654,0.0632314688712724,0.190709925990333,0.236841527706025,-0.330559966956743,-0.57543897604049,-0.251311575071937,0,-0.156229634984571,0,0.559186418006129,0.667483895517291,-0.987279459974074,0,0.124072779974539,0.153826553711381,0,0,0.663310302636627,0,-0.749536062205023,0,0,0.258559357770362,-0.701832904214314,0,0,0.449669569753657,0,0.485378062580687,-0.20580625048699,-0.376028515936967,0,0.259390989510168,0,0,0,0.238333438053846,0,0.0896715542697341,0,0,-0.980887241010365,0.310245370575548,-0.42341190556905,0.461839909303647,-0.224991388392262,0.210940902186992,-0.121937469340387,0.0860170098448062,0.206964355904916,0,0.441611261399992
0.760528068761475,0.596307442888749,0.472753809067258,43,-0.0594847025594628,0,-0.227957967631775,-0.288127377911168,-0.00567771174989788,0.705786756728489,-0.146855301992987,-0.280646611063224,0.947970075621416,0.123597760774611,0,0.151834104112027,0.0667134559252042,0.193595651099466,0.239308241039341,-0.332722260405474,-0.584644058171822,-0.257045014626895,0,-0.153257181049475,0,0.565727213473873,0.675427962875381,-0.988636492364848,0,0.125982730541037,0.15972175536223,0,0,0.673598009758474,0,-0.760884606521049,0,0,0.258225281270258,-0.707447388275764,0,0,0.465214826206689,0,0.493544508418167,-0.221935737657986,-0.393250825606446,0,0.263329845747931,0,0,0,0.243222869017629,0,0.0952821613615533,0,0,-0.993754620743148,0.31484229268757,-0.427642731551466,0.467707160104003,-0.233943927786189,0.216832280044718,-0.12778479771954,0.0874865686229207,0.207771730555199,0,0.448976074040431
0.773696230898225,0.581046318406974,0.457409712473718,44,-0.0811333870592505,0,-0.250603775786319,-0.305789714793587,-0.0484180251625387,0.744672057979957,-0.212926801389799,-0.298676840019924,0.996498086284621,0.120154341754508,0,0.211022237496981,0.0936819649761326,0.214348976612,0.260056792113254,-0.346821710101693,-0.652176690750986,-0.302165920683588,0,-0.135766393724897,0,0.618110661735106,0.73332797055086,-1.00705382591888,0,0.142324708553811,0.196249320878858,0,0,0.746891802092908,0,-0.857780121520488,0,0,0.253382566270632,-0.754510503755512,0,0,0.577390473763613,0,0.555018825427219,-0.356929182995393,-0.51998665766838,0,0.288103044928989,0,0.0527078418397306,0,0.28303292122351,0,0.139983139788124,0,0,-1.09628553592849,0.34634304031836,-0.462812030527703,0.514250656937074,-0.299506695902206,0.256249401614952,-0.172213975386331,0.0951497168393172,0.217120763345781,0,0.505486475749666
0.775708311524699,0.578328470535225,0.454717017354982,45,-0.0850295567557693,0,-0.255169796322999,-0.309137146080562,-0.056457762215566,0.75118456850612,-0.223774894346311,-0.301050872023348,1.00478396947604,0.119580223375153,0,0.221571728848956,0.0987784242390627,0.21843889702696,0.263700436518715,-0.349810437665542,-0.665250482437054,-0.310203992972757,0,-0.132343453457192,0,0.627172435807809,0.743706377359422,-1.0087600318434,0,0.145894095274708,0.202309025803824,0,0,0.75941972461722,0,-0.874151948849855,0,0,0.252369263265817,-0.762888166486519,0,0,0.598182254147173,0,0.566603131785524,-0.379908856697382,-0.542238409717746,0,0.292487438934467,-0.00645791829381323,0.0627656011383501,0,0.29046097262123,0,0.148109509796641,0,0,-1.11368144165595,0.351685517744807,-0.468305304320781,0.522349965547809,-0.310025165308296,0.264039421636732,-0.180637507241722,0.0970630921618229,0.218053905074084,0,0.514573163984114
