"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.582435865525331,0.522646834827545,15,0,0,-0.101857126358724,-0.104765927101642,0,0.668190752936016,0,0,0.55631953212293,0.316612287781793,0,0,0,0,0,0,0,0,-0.173577390435851,-0.731085951196502,0,0,0,-0.657821393317931,0,0.488017905326306,0,0,0,0.216762542424422,0,0,0,0,0.00170554146980043,-0.109420259037102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127108239158105,0,0,0,0.332335360209874,0.171475886018506,0,0
0.613639504967224,0.516953307264139,16,0,0,-0.167273783006031,-0.130635958219004,0,0.707509899689696,0,0,0.542682677983715,0.323406395833282,0,0,0,0,0.0523596138762119,0,0,0,-0.246382391644868,-0.703031680127877,0,0,0,-0.73577263115645,0,0.52494624576009,0,0,0,0.286664353720507,0,0,0,0,0.0603460813381455,-0.175267513296187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137815214527648,0,0,0,0.31994757830956,0.202685896411563,0,0
0.617925525826411,0.513396723226934,17,0,0,-0.172569667329505,-0.129939357498978,0,0.709168596515351,0,0,0.541223345153687,0.32612292949353,0,0,0,0,0.058590765223458,0,-0.0260543772922652,0,-0.250609617719746,-0.695390779083707,0,0,0,-0.740729549255038,0,0.532619753589572,0,0,0,0.297054198145146,0,0,0,0,0.0675074877718797,-0.181787143802537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139606305728726,0,0,0,0.319117910116834,0.206069200243593,0,0
0.630102007220368,0.503533908803759,18,0,0,-0.185660616985191,-0.128545556224073,0,0.718053951694646,0,0,0.539322867662879,0.333619714511699,0,0,0,0,0.0785869983533724,0,-0.0783576965966501,-0.0444497071437601,-0.258616989160551,-0.675652824992039,0,0,0,-0.751981899302224,0,0.555913345669743,0,0,0,0.324513651695613,0,0,0,0,0.0889969442403419,-0.194552043441119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147067761523523,0,0,0,0.317839358248472,0.213902740245317,0,0
0.630518221218227,0.503170344434404,19,0,0,-0.18606684868983,-0.128461907104998,0,0.718276207920346,0,0,0.539263247072811,0.333866357274409,0,0,0,0,0.0793390124187523,0,-0.0801289015309384,-0.0460464494625567,-0.258906765536841,-0.674951450170126,0,0,0,-0.752316776246795,0,0.556558623500485,0,0,0,0.32544117382718,0,0,0,0,0.089645629879115,-0.195089840082251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767802277256711,0,0.147185512575683,0,0,0,0.317648318559863,0.213977053518435,0,0
0.637208526761068,0.499733973306008,20,0,0,-0.19226461173363,-0.124917287309099,0,0.714989320491701,0,0,0.535560193948781,0.33687205315336,0,0,0,0,0.0887900658240092,0,-0.107992202993539,-0.0711239069766774,-0.263796153791807,-0.66343183817114,0,0.0328544145137017,0,-0.758152297569292,0,0.55885526197958,0,0,0,0.334328013057292,0,0,0,0,0.0972618612603217,-0.203586855499476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101752243091943,0,0.148002168389231,0,0,0,0.314969408895687,0.212607168221801,0,0
0.645592078547452,0.49874090111763,21,0,0,-0.198121322034177,-0.118740776496976,0,0.707038137421246,0,0,0.526977173246487,0.339253237235377,0,0,0,0,0.0999772949239463,0,-0.136073144803017,-0.0987426558059274,-0.266643515526587,-0.639776271349198,0,0.0728573672408845,0,-0.753882062620093,0,0.563053176394181,0,0,0,0.347435622666123,0,-0.0370680455264919,0,0,0.108149716602757,-0.208551620412476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222767657122547,0,0.147284320127243,0,0,0,0.31293642284428,0.210360180160165,0,0
0.65683849719266,0.498679384887916,22,0,0,-0.205226487542429,-0.107240138746404,0,0.696920816098213,0,0,0.514135700722738,0.34341249438337,0,0,0,0,0.118312576849814,-0.0195779228770791,-0.174305714467787,-0.137441954718471,-0.269115270565731,-0.603395110610751,0,0.130809723778231,0,-0.746372835812864,0,0.568439561100139,0,0,0,0.368537413216352,0,-0.0843326076147595,0,0,0.121694599894183,-0.215634181784302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372114141518502,0,0.146537348424457,0,0,0,0.309872853166183,0.206757722955046,0,0
0.658894741600102,0.498459690602733,23,0,0,-0.206773277588941,-0.105046885155932,0,0.694897118635775,0,0,0.51190913368387,0.344083961120025,0,0,0,0,0.121921540209512,-0.0231567970960631,-0.181995850202335,-0.144991052251279,-0.269517458894439,-0.596273522617836,0,0.141764407062666,0,-0.745040000609861,0,0.568906982271478,0,0,0,0.372418071033831,0,-0.0936031706546797,0,0,0.124343568545209,-0.217181142235396,0,0,0,0,0.00220752429644302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398524271179721,0,0.146087171662382,0,0,0,0.30916904286087,0.206018208806728,0,0
0.659687155836341,0.498500614213162,24,0,0,-0.207488797878704,-0.104131227080751,0,0.693334319479263,0.0034923886289306,0,0.510529915379448,0.343898510512031,0,0,0,0,0.122728589632264,-0.024515033682013,-0.184758471426427,-0.147815571774731,-0.26932469714166,-0.594263318555801,0,0.145412037332097,0,-0.744365180224318,0,0.569225793377735,0,0,0,0.373137737148465,0,-0.0967881099455379,0,0,0.125196850267267,-0.217607056866052,0,0,0,0,0.00283369279274389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040542690891068,0,0.145829603646226,0,0,0,0.308866697944443,0.206028637544012,0,0
