"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.6183016860084,0.495633612964915,19,0,-0.146039485701676,-0.549387419544644,-0.503631052981898,0,0.915977036469521,0.30111138351807,-1.08227166263439,0.545319361410675,0.835766573312032,0.361232536527962,0,0.160816123388385,0.53696574198963,0,-0.533428744274344,0,0,0,-0.143941121094577,0,-0.516153617475432,0.0767901704400307,-0.182822396401212,0.216758077083947,0,0,0,0.349500515329966,0.357437980637951,0,0
0.623057437090425,0.496689830596461,20,0,-0.178217726868029,-0.563389014610494,-0.496978164448555,0.0222196763035841,0.927982082686046,0.320871691455011,-1.09462593956903,0.544046282951627,0.824156826733292,0.38329595276157,0,0.176676123725939,0.540216503635903,0,-0.557369999250079,0,0,0,-0.153679095286959,0,-0.558950857618606,0.111751177570191,-0.191088717928216,0.227092854816019,0,0,0,0.345357826693598,0.370632516247191,0,0
0.628740437705219,0.494064208032705,21,-0.0477085593522966,-0.205108044545261,-0.572017233966915,-0.478558072105038,0.0604784841759757,0.938598917084923,0.348377689987509,-1.10418058199671,0.544745672219611,0.811241238799289,0.402387959720399,0,0.198896266076492,0.544298294436374,0,-0.5816090253451,0,0,0,-0.164085296653042,0,-0.608179717792173,0.146855495961651,-0.200506080308795,0.23866550059756,0,0,0,0.342255587760576,0.38515150524497,0,0
0.639662415110222,0.493294938660834,22,-0.13367226758627,-0.262970862657755,-0.583526338666732,-0.439404636381736,0.152904421119431,0.960978988165732,0.403683866493556,-1.1314643577462,0.540966621179329,0.779223460254986,0.440660748772956,0,0.23949862081416,0.547554071619929,0,-0.646971505884631,0,0,0,-0.191815724920419,0,-0.707291387631734,0.200676549168819,-0.238984552560477,0.264660826509777,0,0,0,0.332862954404195,0.396474232478508,0,0.0759562730545757
0.642918216035273,0.491756761455292,23,-0.161950225126479,-0.282472463430199,-0.5877551413961,-0.427867849064627,0.184568914851935,0.97018562367647,0.422878723602669,-1.14192015256776,0.540522982881458,0.769573715565113,0.451728618669512,0,0.253740089287094,0.550831512177431,0,-0.668778142978119,0,0,0,-0.200003759093221,-0.0172918835355385,-0.735849002578051,0.218849649077522,-0.249986231712465,0.275739204860704,0,0,0,0.33173808564,0.400766553678863,0,0.102751177513788
0.643959844109514,0.491282247225394,24,-0.170574048676496,-0.288637098497441,-0.589207629611536,-0.424616507550342,0.195104569215551,0.973586868406605,0.429183644533631,-1.14552471301899,0.539843464411742,0.766391314607397,0.454761152033245,0,0.258421415749229,0.552020761363574,0,-0.67577153040294,0,-0.00526293921021001,0,-0.201282342333359,-0.0226002076257856,-0.743603977057579,0.225163894368528,-0.252953846150347,0.280226630595978,0,0,0,0.331398532305634,0.402141337415686,0,0.111791255128223
0.651924160290307,0.486712813194427,25,-0.248189504204693,-0.343265057524126,-0.599167960723807,-0.397235665429021,0.286693313223381,1.00157218158537,0.482257947053961,-1.1765508739095,0.532378330647582,0.736214810031535,0.486542621751974,0,0.298101119292368,0.564032211618026,0,-0.731991460303922,0,-0.0496494133083851,0,-0.208550641769587,-0.0656664088572224,-0.808377571518009,0.28771642331412,-0.274012245880728,0.321038457357353,0,0,-0.044762840582045,0.329468107491032,0.413248975480657,0,0.208155145163686
0.656998232259921,0.478943041286263,26,-0.309514389142137,-0.387436988840897,-0.606334370922724,-0.385709394318765,0.354538282944702,1.02355441832945,0.51813508322993,-1.22192459716598,0.525256920579801,0.717511011648577,0.503672008873607,0.0734258892412235,0.327659988935052,0.580802352938296,0,-0.806895394396557,0,-0.0852940367674728,0,-0.212384359552783,-0.0959702364642159,-0.870736148263826,0.343597445386785,-0.294168935027903,0.357641097544667,0,0,-0.0849916148394604,0.327058583121679,0.430894145382173,0,0.277613237546778
0.658531051233657,0.475903250518027,27,-0.337576293433397,-0.403653954281483,-0.609934286351023,-0.381684610957018,0.377260773625527,1.03363023069529,0.53298563084217,-1.23909990922854,0.523426867803571,0.713354693927332,0.511453051629001,0.0990647762262749,0.337840899713386,0.586945819948394,0,-0.832560952238425,0.0178328326421736,-0.102553412045281,0,-0.216239848154359,-0.110093972637522,-0.896021192409749,0.362865140612865,-0.301532563749042,0.369210563451741,0,0,-0.0998260067618974,0.326789616702955,0.437661651478908,0,0.300454452948147
0.659842745946323,0.47268909945745,28,-0.366625446424284,-0.420564913801458,-0.613542367812818,-0.377900260146557,0.401272760676398,1.04350902699684,0.548450181489127,-1.25652299111298,0.52134188612404,0.70844943502754,0.518734823006779,0.125819305889849,0.348780329594389,0.592775319815448,0,-0.857643120701794,0.0364963035168205,-0.12001002072857,0,-0.220661942344836,-0.124956072033567,-0.921824048844396,0.38190300577137,-0.308904175390861,0.380677836500266,0,0,-0.116742183034786,0.32600649276239,0.4439769005697,0.00626242209514599,0.321441512540803
